geneID	RNAi-GLAD_1	RNAi-GLAD_2	RNAi-GLAD_3	RNAI-GFP_1	RNAI-GFP_2	RNAi-GFP_3
FBgn0262684	46.86066147	44.9410096	49.31241177	51.72971093	48.53646377	42.25796735
FBgn0262366	2.156351364	3.220969919	3.230604594	2.761111018	3.393785234	2.99001378
FBgn0263029	69.90663432	71.37482618	84.42824934	73.59635661	76.14436728	78.40408357
FBgn0038632	3.17778974	4.037836789	1.301094877	2.156281978	2.108246596	2.715044334
FBgn0013708	0	0	0	0	0	0
FBgn0029828	56.96018755	63.84221726	74.1557128	83.86936348	80.1285694	53.15407021
FBgn0261559	0	0	0	0.034364988	0	0.057888333
FBgn0037448	12.15671078	12.22635621	12.19626271	12.55571317	11.70135628	10.64779637
FBgn0039639	3.544617308	3.525944519	3.301266096	2.729285534	2.979213813	3.364040522
FBgn0052150	1.033637351	0.683638447	1.396529431	1.259696547	0.795254121	1.234921364
FBgn0035347	16.83837834	16.95482229	21.4569372	18.99171857	18.57151527	18.60561451
FBgn0032285	9399.280474	7886.664733	6817.501492	11458.17616	10695.14379	6425.763817
FBgn0024991	2.79555054	2.652910476	2.0798539	2.508066543	2.623925962	2.265671506
FBgn0032125	0.241915125	0.08355581	0.17068693	0.378597323	0.157617934	0
FBgn0259712	0.537068128	0.252954021	0.585629389	0.565435317	0.461261605	0.501984914
FBgn0032740	1.746287809	0.217136061	0.295708842	0.131181193	0.409600928	0.994395013
FBgn0052183	18.82000396	16.73787102	17.06334756	18.36671284	18.09176434	16.05463515
FBgn0264380	0.728833652	0.566401726	0.482099788	0.427734422	0.890373648	0.504367494
FBgn0042710	1.644809573	0	0.057074786	0.075957876	0.737866323	1.300847072
FBgn0039252	24.19679	24.04184666	25.79997217	23.66867371	22.42569885	24.30821118
FBgn0053217	5.205368668	4.694512279	4.019596519	4.525780693	4.258239033	5.611076205
FBgn0002607	1586.909007	1616.850709	1618.217896	1557.241408	1656.339493	1704.638931
FBgn0262374	0	0	0	0	0	0
FBgn0004854	1.815890579	2.082673876	2.039208749	1.848300119	1.76114697	2.313190786
FBgn0262420	0	0	0	0	0	0
FBgn0039031	80.49697113	105.1377611	136.4532802	123.0983178	137.7069045	94.96018547
FBgn0039966	16.23753344	14.87246479	16.20902545	16.03763783	16.41772309	15.69570592
Novel00020	1.18549574	1.257633364	1.284540107	1.484241264	1.765487102	0.915261475
FBgn0261990	101.3268274	71.48593943	112.0970713	82.92299038	88.91769861	78.34931114
FBgn0040551	70.27229253	68.56893621	70.5780249	69.64089433	74.78499621	67.56731725
FBgn0005683	1.444041749	1.691453834	1.085313598	1.100485825	1.636268288	1.059305559
FBgn0033502	6.145113667	7.681714929	8.077510539	7.125557395	8.527669574	6.209100194
FBgn0045483	0	0.080377057	0.123145054	0.109258249	0.1137162	0
FBgn0025802	10.47885093	10.59527504	10.36101022	9.864060977	9.758289725	10.33882809
FBgn0019960	88.30985833	88.65108357	96.31937224	90.14095742	88.35526738	90.93071504
FBgn0050394	7.990212317	8.501058893	8.21481331	7.784167853	8.241222535	8.576192166
FBgn0012016	0	0	0	0.550781311	0	0
FBgn0052369	17.90321995	15.89032468	14.76844312	18.49889462	16.55384307	14.19431253
FBgn0085825	0	0	0	0	0	0
FBgn0053866	0	0	0	0	0	0
FBgn0038465	80.95799058	104.789063	78.43246722	93.31130306	97.2763039	82.64795793
FBgn0020440	14.44851783	14.99039908	14.95913516	14.49535202	14.23810236	14.2472741
FBgn0029711	12.07647422	12.66300854	14.00365392	14.88966864	15.0353593	13.36107793
FBgn0263709	0.174060882	0.180358273	0.276325488	0	0.170112038	0.206491918
FBgn0041164	3.664347397	3.484233119	3.467526689	2.955060261	3.233627327	3.554384421
FBgn0264570	0.1894645	0	0.050129845	0	0.092583101	0.149843693
FBgn0035639	29.21222853	26.84391663	27.01143658	24.75944926	23.02742835	29.73038757
FBgn0052554	3.197010529	3.258369782	2.274189207	2.460650898	1.792735191	2.528451836
FBgn0038233	8.110315414	8.629647477	7.406761199	8.209277651	8.906456565	7.500577112
FBgn0083121	0.101707784	0	0	0	0.099400384	0
FBgn0024245	3.615752344	3.64530894	3.82672437	3.196375221	3.15169919	4.83044997
FBgn0031635	23.91474804	26.00034776	21.29599957	20.24410188	21.16764764	21.09240338
FBgn0038784	0.05171374	0.107169409	0	0.145677665	0.050540533	0.163597462
FBgn0024740	7.574255575	7.753347449	6.173765755	5.50624169	7.133785443	8.164236813
FBgn0002842	0.44789725	0	0	0.042057569	0	0.177116499
FBgn0040028	0.982803856	0.416602208	0.614633219	0.482400532	0.589402274	0.63595633
FBgn0004629	934.971335	996.7185236	896.9235526	679.8842507	805.0169239	1079.872824
FBgn0051946	0	0	0	0.550781311	0.573254267	0
FBgn0037634	4.406268181	4.602503651	2.29407484	2.736080436	3.160272277	3.45672612
FBgn0016641	19.44060315	19.86897698	21.67116615	19.80610474	19.88637617	20.3648423
FBgn0030385	0.129754476	0.044816298	0.091550263	0.284292171	0.169081056	0.17103371
FBgn0050460	11.71972756	11.46629846	11.99351585	10.26965756	11.1067609	12.07765586
FBgn0033699	1068.773011	1058.429779	1102.562853	1042.34743	1080.831058	1089.993983
FBgn0038401	7.819461834	7.097260646	6.83008132	6.450227175	6.597327074	6.998386289
FBgn0029911	17.71343292	18.18248845	17.78184386	19.17586277	17.79770443	14.90526497
FBgn0024975	2.904126206	2.822578527	2.334964902	2.367606728	2.508213463	2.688520433
